timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636091863287,3853,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-98,text,true,,29326,239,41,41,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3845,0,6
1636091863148,4082,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,27841,239,42,42,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4073,0,27
1636091863186,4391,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,29632,239,45,45,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4377,0,8
1636091863387,4716,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-97,text,true,,29604,239,51,51,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4705,0,6
1636091863487,5133,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-96,text,true,,28452,239,56,56,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5121,0,5
1636091863588,5399,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-95,text,true,,29639,239,60,60,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5387,0,7
1636091863687,5808,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-94,text,true,,29948,239,65,65,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5794,0,8
1636091863787,6205,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-93,text,true,,28903,239,70,70,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6196,0,7
1636091863887,7453,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-92,text,true,,28905,239,83,83,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7441,0,8
1636091863987,7375,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-91,text,true,,28918,239,83,83,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7364,0,5
1636091864087,7497,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-90,text,true,,28174,239,85,85,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7489,0,6
1636091864186,7576,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-89,text,true,,29508,239,87,87,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7563,0,6
1636091864287,8018,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-88,text,true,,28906,239,93,93,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8005,0,9
1636091864687,8078,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-84,text,true,,29632,239,97,97,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8065,0,7
1636091864587,8521,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-85,text,true,,29347,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8507,0,9
1636091864787,8769,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-83,text,true,,28921,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8760,0,7
1636091865187,8728,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-79,text,true,,29215,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8711,0,6
1636091864887,9366,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-82,text,true,,29210,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,9355,0,7
1636091864487,10735,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-86,text,true,,29498,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,10723,0,7
1636091864387,11244,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-87,text,true,,29760,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11230,0,6
1636091864987,11083,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-81,text,true,,29660,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11073,0,6
1636091865387,10748,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-77,text,true,,29445,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,10733,0,9
1636091865087,11366,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-80,text,true,,29056,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11353,0,8
1636091865288,11450,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-78,text,true,,29195,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11438,0,8
1636091865786,11781,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-73,text,true,,29953,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,11770,0,5
1636091865587,12225,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-75,text,true,,29789,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12212,0,9
1636091865487,12683,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-76,text,true,,29208,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12671,0,74
1636091865687,12786,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-74,text,true,,29642,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12773,0,8
1636091866186,12804,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-69,text,true,,29791,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,12788,0,5
1636091865886,13574,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-72,text,true,,29201,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,13563,0,6
1636091865986,13613,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-71,text,true,,29207,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,13599,0,6
1636091866286,14006,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-68,text,true,,29014,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,13996,0,6
1636091866087,14538,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-70,text,true,,29483,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,14523,0,9
1636091866487,14505,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-66,text,true,,29204,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,14494,0,6
1636091866887,14968,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-62,text,true,,29034,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,14954,0,7
1636091866387,15594,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-67,text,true,,28423,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,15557,0,7
1636091866587,15633,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-65,text,true,,27378,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,15629,0,6
1636091866688,16105,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-64,text,true,,29374,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16094,0,6
1636091866787,16417,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-63,text,true,,29362,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16404,0,7
1636091867687,16177,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-54,text,true,,29161,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16167,0,5
1636091866986,17172,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-61,text,true,,29013,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,17161,0,6
1636091868087,16449,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-50,text,true,,29104,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16435,0,7
1636091868619,16062,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-96,text,true,,29125,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16012,0,7
1636091868686,16645,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-44,text,true,,28204,239,100,100,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,16633,0,6
