timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636088047079,47,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-18,text,true,,561,239,3,3,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,46,0,32
1636088047178,35,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-16,text,true,,561,239,5,5,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,35,0,24
1636088047128,85,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-17,text,true,,561,239,5,5,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,85,0,74
1636088047131,82,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-18,text,true,,561,239,5,5,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,82,0,71
1636088047214,39,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-17,text,true,,561,239,6,6,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,39,0,6
1636088047214,47,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-16,text,true,,561,239,6,6,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,46,0,9
1636088047278,23,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-14,text,true,,561,239,7,7,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,23,0,7
1636088047302,26,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-14,text,true,,561,239,8,8,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,26,0,14
1636088047378,125,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-12,text,true,,561,239,11,11,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,125,0,94
1636088047329,175,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-14,text,true,,561,239,11,11,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,174,0,143
1636088047038,3635,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-20,text,true,,29159,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3602,0,33
1636088047038,3937,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-19,text,true,,29275,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,3917,0,30
1636088047229,4166,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-15,text,true,,29784,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4154,0,31
1636088047254,4502,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-17,text,true,,29649,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4495,0,14
1636088047214,4950,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-18,text,true,,29798,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,4942,0,9
1636088047261,5263,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-16,text,true,,29608,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5255,0,8
1636088047478,5528,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,29169,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5516,0,8
1636088047429,5874,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-11,text,true,,29490,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,5866,0,43
1636088047329,6321,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-13,text,true,,29297,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6316,0,136
1636088047504,6583,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-12,text,true,,29495,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6577,0,6
1636088047505,6968,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-14,text,true,,29492,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,6962,0,5
1636088047579,7313,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,29656,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7305,0,63
1636088047830,7516,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-3,text,true,,29944,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,7508,0,225
1636088047679,8103,HTTP请求,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,28920,239,20,20,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,8095,0,25
