timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636029413606,20952,HTTP请求,200,,线程组 1-7,text,true,,29483,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,20951,0,38
1636029413605,35717,HTTP请求,200,,线程组 1-1,text,true,,29625,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,35707,0,39
1636029413605,38690,HTTP请求,200,,线程组 1-25,text,true,,29346,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,38677,0,39
1636029413606,41911,HTTP请求,200,,线程组 1-20,text,true,,29076,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,41900,0,38
1636029413606,43201,HTTP请求,200,,线程组 1-27,text,true,,29950,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,43187,0,39
1636029413605,43706,HTTP请求,200,,线程组 1-41,text,true,,29740,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,43694,0,39
1636029413605,44655,HTTP请求,200,,线程组 1-26,text,true,,29361,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,44644,0,39
1636029413605,48007,HTTP请求,200,,线程组 1-6,text,true,,28927,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,47990,0,39
1636029413604,48973,HTTP请求,200,,线程组 1-28,text,true,,28438,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,48962,0,40
1636029413604,50272,HTTP请求,200,,线程组 1-37,text,true,,29346,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,50261,0,40
1636029413605,51594,HTTP请求,200,,线程组 1-22,text,true,,29632,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,51578,0,39
1636029413605,52787,HTTP请求,200,,线程组 1-4,text,true,,29496,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,52775,0,39
1636029413606,53285,HTTP请求,200,,线程组 1-42,text,true,,29493,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,53274,0,38
1636029413604,56808,HTTP请求,200,,线程组 1-49,text,true,,29068,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,56797,0,40
1636029413604,57788,HTTP请求,200,,线程组 1-31,text,true,,29657,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,57778,0,40
1636029413604,57982,HTTP请求,200,,线程组 1-17,text,true,,29358,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,57970,0,40
1636029413604,59060,HTTP请求,200,,线程组 1-10,text,true,,29601,239,50,50,http://microservice-test.weiwenjia.com/recommend/api/v1/recommend,59050,0,40
